"ccode1","ccode2","lvalue","cu","ldist","lrgdpcc","lrgdp","regional","comlang","border","cont1","cont2"
"AGO","ARG",10.2121114730835,0,8.57659244537354,16.2436828410455,49.8003515554375,0,0,0,"Africa","Americas"
"AGO","AUS",8.6206521987915,0,8.8901309967041,17.0039867421359,49.9058236801643,0,0,0,"Africa","Oceania"
"AGO","BEL",12.3066959381104,0,8.40210247039795,17.0918807550263,49.4160244124068,0,0,0,"Africa","Europe"
"AGO","BRA",11.0902786254883,0,8.50940132141113,15.8049929917375,50.8832637374329,0,1,0,"Africa","Americas"
"AGO","CAN",9.3978157043457,0,8.95673274993896,17.0975177601425,50.4937700407494,0,0,0,"Africa","Americas"
"AGO","CHE",9.77092742919922,0,8.33242034912109,17.2280828001107,49.1878042965256,0,0,0,"Africa","Europe"
"AGO","CHL",11.1652669906616,0,8.65729808807373,16.4273407723004,49.0892861540818,0,0,0,"Africa","Americas"
"AGO","CHN",11.9704513549805,0,8.78079700469971,15.1371231992222,52.2379375230891,0,0,0,"Africa","Asia"
"AGO","DEU",12.5576095581055,0,8.39042472839355,17.029589137638,51.4399042639527,0,0,0,"Africa","Europe"
"AGO","DNK",9.01869583129883,0,8.46630954742432,17.1081274515345,48.7701275381744,0,0,0,"Africa","Europe"
"AGO","ESP",12.0250663757324,0,8.26847457885742,16.724763063565,50.4016661707472,0,0,0,"Africa","Europe"
"AGO","FIN",6.27476215362549,0,8.57421207427979,16.9104583044962,48.5492375335444,0,0,0,"Africa","Europe"
"AGO","FRA",13.1408195495605,0,8.33440971374512,17.0672393806925,51.1381161649572,0,0,0,"Africa","Europe"
"AGO","GBR",11.3626260757446,0,8.46461009979248,16.9758625318409,51.0546709031388,0,0,0,"Africa","Europe"
"AGO","HKG",10.0553932189941,0,8.8378381729126,17.1716552050849,48.997069956122,0,0,0,"Africa","Asia"
"AGO","IDN",8.26539325714111,0,8.84008502960205,15.1887493456512,50.4644550765993,0,0,0,"Africa","Asia"
"AGO","IRL",8.10741901397705,0,8.47300434112549,16.8850148414973,48.1700235075582,0,0,0,"Africa","Europe"
"AGO","ITA",11.9877367019653,0,8.25187110900879,17.0020139724179,51.0566090893065,0,0,0,"Africa","Europe"
"AGO","JOR",6.28971576690674,0,8.07645988464355,15.2739061876714,46.7157708184684,0,0,0,"Africa","Asia"
"AGO","JPN",10.6259746551514,0,9.03051471710205,17.1138171468086,51.953608022318,0,0,0,"Africa","Asia"
"AGO","KOR",11.8985071182251,0,8.95784282684326,16.5286340092029,50.3431566725667,0,0,0,"Africa","Asia"
"AGO","MEX",4.35670900344849,0,9.04409694671631,16.0429487128872,50.5684167754834,0,0,0,"Africa","Americas"
"AGO","MYS",8.1696195602417,0,8.7821102142334,16.3433247406588,49.351866581731,0,0,0,"Africa","Asia"
"AGO","NLD",11.3101606369019,0,8.42259407043457,17.0026408646732,49.7488681987104,0,0,0,"Africa","Europe"
"AGO","NOR",8.38640117645264,0,8.54891300201416,17.1179138348793,48.5983571831182,0,0,0,"Africa","Europe"
"AGO","NZL",4.54329490661621,0,9.03733062744141,16.8758428602515,48.1625233015693,0,0,0,"Africa","Oceania"
"AGO","PER",3.78418970108032,0,8.75773334503174,15.5236015775964,48.702056449992,0,0,0,"Africa","Americas"
"AGO","PHL",9.06531429290771,0,8.89480018615723,15.1980936004729,49.4583671631717,0,0,0,"Africa","Asia"
"AGO","POL",5.71042680740356,0,8.40097427368164,15.7406722694056,49.4015849075918,0,0,0,"Africa","Europe"
"AGO","PRT",12.8816595077515,0,8.28682136535645,16.5803056083641,48.8835352168496,0,1,0,"Africa","Europe"
"AGO","SGP",8.96941471099854,0,8.68507194519043,17.2401327655208,48.3422061895889,0,0,0,"Africa","Asia"
"AGO","THA",10.8237705230713,0,8.6793155670166,15.8847346485716,49.9770170006932,0,0,0,"Africa","Asia"
"AGO","TUR",7.02464914321899,0,8.21850204467773,15.7460709648602,49.8754181570112,0,0,0,"Africa","Asia"
"AGO","URY",6.01615715026855,0,8.48722553253174,15.9947306011076,47.1608401599677,0,0,0,"Africa","Americas"
"AGO","USA",14.7981863021851,0,9.00203514099121,17.3225269192736,52.9022339038874,0,0,0,"Africa","Americas"
"AGO","VEN",1.7917594909668,0,8.69326019287109,16.160955462278,49.2528530374458,0,0,0,"Africa","Americas"
"AGO","ZWE",9.38479804992676,0,6.82469892501831,14.7862908922393,47.1931569562486,0,0,0,"Africa","Africa"
"ARE","AUS",13.2842102050781,0,8.75242519378662,19.0421532516558,50.467201364679,0,0,0,"Asia","Oceania"
"ARE","BEL",12.8684206008911,0,8.07717227935791,19.1300472645461,49.9774020969215,0,0,0,"Asia","Europe"
"ARE","CHE",12.9156265258789,0,7.99742794036865,19.2662493096305,49.7491819810403,0,0,0,"Asia","Europe"
"ARE","CHN",14.013072013855,0,8.0459156036377,17.175289708742,52.7993152076039,0,0,0,"Asia","Asia"
"ARE","DEU",14.3562078475952,0,7.98504400253296,19.0677556471578,52.0012819484674,0,0,0,"Asia","Europe"
"ARE","DNK",11.8817892074585,0,8.04513359069824,19.1462939610544,49.3315052226892,0,0,0,"Asia","Europe"
"ARE","ESP",12.4829349517822,0,8.16162109375,18.7629295730849,50.9630438552619,0,0,0,"Asia","Europe"
"ARE","FIN",12.4657411575317,0,8.01861763000488,18.948624814016,49.1106152180591,0,0,0,"Asia","Europe"
"ARE","FRA",14.208025932312,0,8.08211040496826,19.1054058902124,51.6994938494719,0,0,0,"Asia","Europe"
